"year","age","gender","race","education","south","income","party_id","interest","gov_trust","abortion","dem_thermometer","rep_thermometer"
2012,41,1,1,5,1,3,5,3,2,4,60,70
2012,62,1,1,3,1,1,4,3,NA,2,60,60
2012,55,2,3,2,1,1,4,2,2,2,50,50
2012,87,1,1,6,1,2,3,3,2,2,70,60
2012,61,2,1,5,1,3,7,2,NA,2,50,50
2012,22,2,3,6,1,1,2,3,2,4,60,40
2012,19,1,2,3,1,2,3,2,NA,2,60,40
2012,30,1,1,6,1,4,1,3,2,4,60,30
2012,42,1,1,6,1,4,3,2,NA,4,60,25
2012,23,2,1,6,1,1,2,3,2,4,70,40
2012,65,2,1,6,1,4,3,3,3,4,60,60
2012,29,1,1,6,1,3,5,2,2,1,50,50
2012,57,1,1,6,1,3,1,3,NA,3,80,10
2012,58,2,3,6,1,4,3,2,NA,4,60,40
2012,54,2,1,6,1,4,3,3,2,4,60,30
2012,32,1,1,6,1,5,2,2,NA,4,60,30
2012,68,2,1,3,2,4,5,3,NA,1,40,70
2012,54,2,1,3,2,4,3,3,2,3,85,0
2012,69,2,1,5,2,3,7,3,2,3,15,85
2012,59,2,1,3,2,3,1,2,2,4,97,0
2012,52,1,1,5,2,3,4,2,NA,4,70,60
2012,37,2,1,5,2,3,2,2,2,1,85,30
2012,67,2,1,6,2,3,5,3,NA,2,30,60
2012,55,1,1,9,2,3,3,3,NA,3,50,50
2012,56,2,2,6,2,2,1,3,NA,4,85,15
2012,41,1,1,3,2,0,3,2,2,4,97,97
2012,36,2,1,3,2,3,2,3,2,4,60,40
2012,42,1,2,3,2,2,2,3,NA,2,85,50
2012,50,2,1,3,2,1,3,2,NA,4,40,30
2012,24,1,1,2,2,2,5,2,NA,2,50,50
2012,44,2,1,4,2,2,7,3,2,1,0,70
2012,35,1,3,3,2,3,3,2,2,2,0,0
2012,53,2,2,2,2,1,1,2,NA,3,97,70
2012,35,2,1,5,2,3,3,2,2,2,70,50
2012,57,2,2,3,2,1,2,3,2,2,70,30
2012,59,1,2,2,2,1,1,2,NA,4,85,0
2012,70,2,2,2,2,1,3,3,9,4,70,0
2012,48,2,2,4,2,1,1,3,2,2,97,0
2012,65,2,2,5,2,2,1,3,NA,2,85,0
2012,44,2,2,6,2,3,1,2,2,4,97,0
2012,44,2,1,6,2,1,7,3,NA,4,50,60
2012,75,1,1,3,2,1,3,2,NA,2,85,40
2012,56,1,1,3,2,3,6,3,NA,2,40,85
2012,25,2,1,3,2,3,2,3,NA,2,70,50
2012,70,2,1,2,2,1,3,2,2,3,40,40
2012,65,2,1,1,2,2,1,2,3,4,80,10
2012,80,1,1,6,2,3,6,3,2,2,60,85
2012,41,1,1,3,2,3,5,2,NA,1,30,40
2012,21,1,1,3,2,2,7,2,NA,2,0,85
2012,39,1,1,3,2,4,7,3,2,2,0,70
2012,53,2,1,4,2,4,7,3,2,1,60,70
2012,53,1,1,6,2,5,3,3,NA,3,50,0
2012,40,1,3,6,2,3,4,2,NA,4,50,15
2012,67,2,1,6,2,4,1,3,2,4,85,15
2012,46,1,3,6,2,4,1,3,3,4,97,0
2012,64,1,1,6,2,3,1,3,NA,4,70,30
2012,58,1,1,6,2,4,2,2,NA,4,60,30
2012,42,2,1,6,2,4,2,3,NA,4,70,70
2012,70,2,1,3,2,3,4,3,2,2,99,98
2012,49,1,1,5,2,4,7,3,4,3,70,97
2012,20,1,3,3,2,1,4,2,2,9,50,50
2012,40,2,1,5,2,3,4,3,2,1,30,30
2012,53,1,1,5,2,3,7,2,2,3,30,70
2012,71,2,1,6,2,2,1,3,NA,4,85,0
2012,84,1,1,5,2,0,5,3,1,2,30,70
2012,79,2,1,6,2,2,4,3,2,2,50,50
2012,41,1,1,5,2,4,6,3,2,4,40,60
2012,70,2,1,3,2,2,6,3,NA,2,70,85
2012,29,1,1,6,2,4,7,2,NA,2,40,85
2012,61,1,1,2,2,2,4,3,NA,1,0,0
2012,63,2,1,3,2,3,7,2,NA,2,40,60
2012,71,2,1,2,2,1,6,3,NA,2,75,75
2012,59,2,1,1,2,1,1,3,2,2,97,0
2012,74,1,1,2,2,1,4,3,4,1,40,40
2012,26,2,1,3,2,2,2,3,NA,3,97,0
2012,40,2,3,3,2,2,1,3,2,4,97,50
2012,65,1,1,5,2,1,1,3,2,4,85,0
2012,22,2,1,5,2,2,7,2,1,1,15,70
2012,27,1,1,6,2,2,2,3,NA,4,70,40
2012,65,2,1,3,2,4,7,2,NA,4,60,97
2012,62,2,1,3,2,2,1,2,NA,4,97,50
2012,64,1,1,6,2,5,2,3,2,4,70,30
2012,37,1,1,5,2,4,3,2,2,4,45,50
2012,75,1,1,3,2,2,5,3,2,4,30,85
2012,39,1,1,3,2,4,4,3,2,1,50,50
2012,26,2,3,6,2,0,2,3,NA,3,85,0
2012,51,2,1,3,2,3,4,3,NA,4,50,50
2012,56,1,1,5,2,0,5,2,NA,2,40,50
2012,58,2,1,5,2,3,3,3,NA,4,60,40
2012,25,2,2,3,1,1,1,2,NA,1,70,85
2012,54,2,1,3,1,3,5,3,NA,2,40,50
2012,64,1,1,3,1,3,5,3,1,2,15,70
2012,63,1,1,5,1,3,3,3,2,2,30,50
2012,35,1,2,3,1,2,1,2,NA,2,70,0
2012,37,1,3,2,1,2,3,3,3,2,50,60
2012,57,1,1,3,1,1,5,2,NA,4,15,60
2012,34,1,1,2,1,3,5,3,NA,3,30,50
2012,35,2,2,3,1,1,2,2,3,4,97,15
2012,21,1,1,3,1,1,4,3,2,4,70,40
2012,68,2,1,3,1,1,2,2,2,2,97,0
2012,80,1,1,6,1,0,7,3,2,4,15,80
2012,55,1,1,3,1,1,7,2,2,1,0,97
2012,73,1,1,3,1,0,5,2,NA,2,50,50
2012,71,2,1,2,1,1,2,2,3,1,70,0
2012,56,2,3,3,1,1,3,2,NA,2,50,50
2012,19,2,1,3,1,1,4,2,4,2,65,65
2012,28,2,3,3,1,2,4,3,2,2,50,50
2012,71,1,1,2,1,1,7,3,1,1,10,60
2012,90,2,1,1,1,1,4,3,9,2,98,98
2012,57,2,1,5,1,4,4,2,NA,1,60,60
2012,40,1,1,6,1,4,3,2,3,4,50,50
2012,37,2,1,2,1,1,6,2,NA,4,40,40
2012,22,1,1,4,1,3,7,2,NA,1,0,70
2012,63,2,1,4,1,4,1,2,NA,2,85,40
2012,28,1,3,2,1,4,2,3,NA,3,85,30
2012,69,1,1,2,1,2,1,3,2,3,85,70
2012,39,1,3,6,1,4,1,3,NA,4,97,60
2012,23,2,3,4,1,3,4,2,3,2,40,50
2012,64,2,3,3,1,1,1,2,NA,2,97,0
2012,62,1,1,5,1,4,7,3,2,1,0,85
2012,46,2,1,4,2,5,3,2,NA,4,60,60
2012,22,1,1,5,2,3,3,3,3,4,70,60
2012,29,2,1,6,2,4,4,3,NA,3,98,98
2012,39,1,1,5,2,1,6,2,NA,4,50,50
2012,54,2,1,5,2,4,5,3,3,3,40,60
2012,54,1,1,6,2,3,6,2,3,3,30,70
2012,21,2,1,4,2,4,4,3,3,2,50,50
2012,57,1,1,6,2,3,1,3,2,4,97,0
2012,34,1,1,5,1,3,3,3,NA,4,60,30
2012,76,2,1,5,1,3,6,3,NA,2,0,85
2012,61,2,1,3,1,3,1,2,2,4,85,50
2012,34,2,3,5,1,2,3,2,NA,4,70,0
2012,22,2,1,5,1,0,2,2,NA,2,30,60
2012,0,1,1,5,1,3,3,2,NA,4,60,50
2012,56,2,1,5,1,4,7,3,2,2,0,85
2012,54,2,1,3,1,2,6,3,2,1,60,60
2012,25,1,1,6,1,3,6,2,NA,2,40,60
2012,23,1,1,6,1,1,7,3,2,4,15,85
2012,66,2,1,5,1,0,5,3,2,3,30,85
2012,54,2,1,6,1,1,6,2,NA,4,50,60
2012,26,2,1,6,1,3,1,3,3,4,85,15
2012,40,1,1,6,1,4,6,3,2,2,15,70
2012,21,2,1,3,1,2,6,2,NA,4,50,60
2012,55,2,1,6,1,3,2,3,NA,3,85,15
2012,24,2,1,4,1,1,2,3,2,4,85,30
2012,45,2,1,6,1,4,3,2,2,4,70,40
2012,29,2,1,3,2,0,2,3,NA,2,85,40
2012,28,1,3,3,2,2,3,3,NA,4,70,30
2012,65,2,1,5,2,2,7,2,2,1,50,85
2012,66,2,1,9,2,3,7,3,NA,3,30,85
2012,58,2,1,3,2,3,6,3,NA,2,50,60
2012,51,1,1,3,2,2,2,2,NA,2,70,70
2012,34,2,1,3,2,2,1,3,2,3,97,0
2012,30,2,1,4,2,3,2,3,NA,4,50,50
2012,26,2,1,5,2,2,5,3,2,3,98,98
2012,57,2,1,5,2,3,6,3,2,2,40,50
2012,53,1,1,4,2,4,3,3,NA,4,50,50
2012,46,2,1,4,2,3,1,3,NA,4,95,70
2012,23,2,3,5,2,2,2,3,NA,3,85,40
2012,0,1,1,3,2,0,7,3,1,3,85,85
2012,24,1,3,5,2,3,3,2,NA,3,50,50
2012,41,1,3,5,2,3,3,3,NA,2,70,40
2012,33,2,1,2,2,2,2,3,2,2,50,50
2012,41,1,1,5,2,3,1,2,2,4,70,15
2012,36,2,1,5,2,1,3,2,NA,3,75,35
2012,58,2,1,2,2,1,2,2,NA,4,85,40
2012,25,1,1,3,2,3,5,3,4,2,50,50
2012,43,2,3,2,2,1,4,3,2,2,99,99
2012,19,2,3,5,2,3,2,3,2,2,97,50
2012,39,1,1,6,2,0,5,3,2,4,40,50
2012,63,1,2,5,1,1,1,3,2,3,70,0
2012,58,1,2,2,1,1,2,2,NA,2,8,7
2012,57,2,2,3,1,1,1,3,NA,2,85,50
2012,30,1,2,4,1,1,1,3,2,2,97,0
2012,53,1,2,2,1,2,1,2,NA,2,97,0
2012,54,2,2,2,1,2,3,2,NA,2,50,0
2012,52,2,2,5,1,1,3,2,3,1,60,40
2012,44,1,3,5,2,4,7,3,NA,4,60,97
